config,clean_accuracy,robust_accuracy,model_robust_accuracy,l2_norm,linf_norm
Train,0.96484375,0.3309470011963118,0.36328124999999994,117.09840488433838,7.654733598232269
Test,0.921875,0.0006103515625,0.17578125,167.20977783203125,9.400559782981873
