config,clean_accuracy,robust_accuracy,model_robust_accuracy,l2_norm,linf_norm
Train,0.9765625,0.5916748046875,0.943359375,0.1527745146304369,0.010450603440403938
Test,0.9765625,0.6439208984375,0.9296875,0.15557024255394936,0.01043351786211133
